name,artist,rank,last_week_rank,peak_rank,weeks_on_chart
Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,1,1,0,12
Hate That I Made You Love Me,Ariana Grande,2,1,0,11
Choosin' Texas,Ella Langley,3,2,0,42
Petal,Ariana Grande,4,2,0,2
Loser,Tame Impala,5,5,0,2
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,6,1,0,18
Ordinary,Alex Warren,7,1,0,79
Stupid Song,Olivia Rodrigo,8,1,0,9
Billie Jean,Michael Jackson,9,1,0,157
Dracula,Tame Impala & JENNIE,10,2,0,44
Man I Need,Olivia Dean,11,2,0,51
Swim,BTS,12,1,0,21
Earrings,Malcolm Todd,13,13,0,19
Self Aware,Temper City,14,14,0,19
The Cure,Olivia Rodrigo,15,2,0,12
Animal,KATSEYE,16,10,0,3
Boston,Stella Lefty,17,17,0,16
Babydoll,Dominic Fike,18,2,0,27
The Fate Of Ophelia,Taylor Swift,19,1,0,45
Wonderwall,Oasis,20,4,0,54
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",21,1,0,60
Been By Now,Morgan Wallen,22,4,0,3
Oh Yeah?,Steve Lacy,23,23,0,2
Iris,Goo Goo Dolls,24,21,0,154
This & That,Stray Kids,25,25,0,1
The One That Got Away,Katy Perry,26,23,0,20
Drop Dead,Olivia Rodrigo,27,1,0,17
Love Me Not,Ravyn Lenae,28,7,0,73
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,29,20,0,302
Die With A Smile,Lady Gaga & Bruno Mars,30,1,0,104
Beat It,Michael Jackson,31,5,0,18
Janice STFU,Drake,32,1,0,13
Back To Friends,sombr,33,5,0,73
So Easy (To Fall In Love),Olivia Dean,34,7,0,46
Movin' To The Sun,"HUGEL, Imael Angel & Ultra Nate",35,35,0,7
Mr. Brightside,The Killers,36,27,0,202
Lush Life,Zara Larsson,37,8,0,38
Jamaican (Bam Bam),HUGEL & SOLTO,38,36,0,19
End Of Beginning,Djo,39,1,0,125
DTMF,Bad Bunny,40,1,0,84
Beautiful Things,Benson Boone,41,1,0,134
"I Knew It, I Knew You",Taylor Swift,42,1,0,10
EOO,Bad Bunny,43,4,0,83
Where Is My Husband!,RAYE,44,6,0,47
Be Her,Ella Langley,45,25,0,26
Rein Me In,Sam Fender & Olivia Dean,46,39,0,26
Sign Of The Times,Harry Styles,47,46,0,27
Dreams,Fleetwood Mac,48,10,0,277
Every Breath You Take,The Police,49,9,0,210
Save Your Tears,The Weeknd & Ariana Grande,50,1,0,293
Creep,Radiohead,51,26,0,156
Midnight Sun,Zara Larsson,52,27,0,31
Nuevayol,Bad Bunny,53,3,0,84
Birds Of A Feather,Billie Eilish,54,1,0,117
I Can't Love You Anymore,Ella Langley & Morgan Wallen,55,30,0,16
Sweater Weather,The Neighbourhood,56,21,0,307
Normal,BTS,57,4,0,17
Riptide,Vance Joy,58,53,0,252
Daisies,Justin Bieber,59,3,0,57
Baile Inolvidable,Bad Bunny,60,2,0,84
Risk It All,Bruno Mars,61,1,0,24
On The Floor,Jennifer Lopez Featuring Pitbull,62,22,0,13
Cinderella,Mac Miller Featuring Ty Dolla $ign,63,47,0,12
I Just Might,Bruno Mars,64,4,0,31
Stateside,PinkPantheress With Zara Larsson,65,1,0,31
Sailor Song,Gigi Perez,66,10,0,103
Lose Control,Teddy Swims,67,4,0,152
Like I Do,Ariana Grande,68,11,0,2
Locked Out Of Heaven,Bruno Mars,69,23,0,155
Talk To You,ANOTR Featuring 54 Ultra,70,59,0,12
APT.,ROSE & Bruno Mars,71,1,0,95
Ain't In LA,ADELA,72,72,0,2
Raindance,Dave & Tems,73,12,0,36
Pile,Mauvais djo,74,44,0,10
In The End,Linkin Park,75,45,0,160
Superestrella,Aitana,76,53,0,4
As It Was,Harry Styles,77,1,0,219
Viva La Vida,Coldplay,78,42,0,207
Don't Stop Believin',Journey,79,44,0,233
Honeybee,Olivia Rodrigo,80,5,0,9
Great Expectation,Sienna Spiro,81,81,0,6
Yellow,Coldplay,82,37,0,278
Treat You Better,Shawn Mendes,83,75,0,11
Matadora,Karol G,84,84,0,2
Opalite,Taylor Swift,85,2,0,45
One Dance,Drake Featuring Wizkid & Kyla,86,43,0,83
Starboy,The Weeknd Featuring Daft Punk,87,34,0,266
Smells Like Teen Spirit,Nirvana,88,88,0,229
Espresso,Sabrina Carpenter,89,1,0,122
Blinding Lights,The Weeknd,90,2,0,310
Kiss Me,Ariana Grande,91,5,0,2
Stay,Ariana Grande,92,7,0,2
Die On This Hill,Sienna Spiro,93,11,0,36
Chicago,Michael Jackson,94,18,0,16
Hips Don't Lie,Shakira Featuring Wyclef Jean,95,57,0,37
Oh Well,Ariana Grande,96,8,0,2
Bloodstream,Alyssa Grace,97,97,0,5
Don't Stop The Music,Rihanna,98,89,0,29
Jaded,Koe Wetzel & Ella Langley,99,99,0,1
Dead Fresh,Lil Baby,100,54,0,4
